,"[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
53,ifrs-full_OtherComprehensiveIncome,연결기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결기타포괄손익,,,-1935688573917.0,2632490526672.0,-3772862083507.0,-1540854377190.0
54,ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되지 않는 항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,-1668323667867.0,1478038619831.0,38184057381.0,-2394627051.0
55,ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,-267364906050.0,1154451906841.0,-3811046140888.0,-1538459750139.0
56,ifrs-full_ComprehensiveIncome,연결당기총포괄손익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기총포괄손익,,,141109139066.0,4454104869719.0,-2146160522598.0,-416144065983.0
57,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 연결당기순이익,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익의 귀속,지배기업의 소유주에게 귀속되는 연결당기순이익,,2073571536369.0,1818433660138.0,1622986903060.0,1122218422074.0
58,ifrs-full_IncomeFromContinuingOperationsAttributableToOwnersOfParent,지배기업의 소유주에게 귀속될 계속영업순이익,Income from continuing operations attributable to owners of parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익의 귀속,지배기업의 소유주에게 귀속되는 연결당기순이익,지배기업의 소유주에게 귀속될 계속영업순이익,2073571536369.0,1818433660138.0,1533281070332.0,1108793116746.0
59,ifrs-full_IncomeFromDiscontinuedOperationsAttributableToOwnersOfParent,지배기업의 소유주에게 귀속될 중단영업손익,Income from discontinued operations attributable to owners of parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익의 귀속,지배기업의 소유주에게 귀속되는 연결당기순이익,지배기업의 소유주에게 귀속될 중단영업손익,0.0,0.0,89705832728.0,13425305328.0
60,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 연결당기순이익,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익의 귀속,비지배지분에 귀속되는 연결당기순이익,,3226176614.0,3180682909.0,3714657849.0,2491889133.0
61,ifrs-full_ProfitLossFromContinuingOperationsAttributableToNoncontrollingInterests,비지배지분에 귀속될 계속영업순이익,Profit (loss) from continuing operations attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익의 귀속,비지배지분에 귀속되는 연결당기순이익,비지배지분에 귀속될 계속영업순이익,3226176614.0,3180682909.0,3714657849.0,2491889133.0
62,ifrs-full_ProfitLossFromDiscontinuedOperationsAttributableToNoncontrollingInterests,비지배지분에 귀속될 중단영업손익,Profit (loss) from discontinued operations attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익의 귀속,비지배지분에 귀속되는 연결당기순이익,비지배지분에 귀속될 중단영업손익,0.0,0.0,0.0,0.0
63,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 연결총포괄손익,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기총포괄손익의 귀속,지배기업의 소유주에게 귀속되는 연결총포괄손익,,135223838108.0,4450891760042.0,-2149826817355.0,-420774296092.0
64,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분에 귀속되는 연결총포괄손익,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기총포괄손익의 귀속,비지배지분에 귀속되는 연결총포괄손익,,5885300958.0,3213109677.0,3666294757.0,4630230109.0
65,ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결주당이익,기본주당이익,,48779.0,42777.0,38179.0,26399.0
66,ifrs-full_DilutedEarningsLossPerShare,희석주당이익,Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결주당이익,희석주당이익,,48779.0,42777.0,38179.0,26399.0
67,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,기본주당계속영업이익,Basic earnings (loss) per share from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결주당이익,기본주당계속영업이익,,48779.0,42777.0,36069.0,26083.0
68,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,희석주당계속영업이익,Diluted earnings (loss) per share from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결주당이익,희석주당계속영업이익,,48779.0,42777.0,36069.0,26083.0
