,"[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,class5,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
9,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,Intangible assets and goodwill,ifrs-full:StatementOfFinancialPositionAbstract,자산,무형자산,,,,348175000000.0,296184000000.0,264197000000.0,268842000000.0
10,ifrs-full_RecognisedAssetsDefinedBenefitPlan,순확정급여자산,Net defined benefit asset,ifrs-full:StatementOfFinancialPositionAbstract,자산,순확정급여자산,,,,32777000000.0,178297000000.0,347981000000.0,94473000000.0
11,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,ifrs-full:StatementOfFinancialPositionAbstract,자산,이연법인세자산,,,,101658000000.0,112215000000.0,101238000000.0,7248000000.0
12,ifrs-full_OtherAssets,기타자산,Other assets,ifrs-full:StatementOfFinancialPositionAbstract,자산,기타자산,,,,10358091000000.0,13782317000000.0,7020704000000.0,7334758000000.0
13,ifrs-full_Assets,자산총계,Total assets,ifrs-full:StatementOfFinancialPositionAbstract,자산,자산총계,,,,472219838000000.0,448427279000000.0,431186338000000.0,397727767000000.0
14,ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLoss,당기손익금융부채,Financial liabilities at fair value through profit or loss,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,당기손익금융부채,,,5454844000000.0,2876396000000.0,4860906000000.0,2583174000000.0
15,ifrs-full_FinancialLiabilitiesAtFairValueThroughProfitOrLossDesignatedAsUponInitialRecognition,당기손익인식지정금융부채,"Financial liabilities at fair value through profit or loss, designated upon initial recognition or subsequently",ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,당기손익인식지정금융부채,,,1492476000000.0,1246091000000.0,780615000000.0,657755000000.0
16,ifrs-full_DepositsFromCustomers,예수부채,Deposits from customers,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,예수부채,,,158255737000000.0,154044994000000.0,155049836000000.0,158246290000000.0
17,ifrs-full_OtherBorrowings,차입부채,Other borrowings,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,차입부채,,,44777136000000.0,41239201000000.0,49423444000000.0,43191533000000.0
18,ifrs-full_BondsIssued,사채,Bonds issued,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,사채,,,193150753000000.0,181991789000000.0,166476705000000.0,143614755000000.0
