,"[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
20,ifrs-full_ImpairmentLossImpairmentGainAndReversalOfImpairmentLossDeterminedInAccordanceWithIFRS9,금융자산 손상차손,Impairment loss (impairment gain and reversal of impairment loss) determined in accordance with IFRS 9,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융자산 손상차손,,,-1720064000000.0,-2076147000000.0,-1485508000000.0,-940428000000.0
21,entity00149646_NetOperatingIncomeLossOfStatementOfComprehensiveIncomeAbstract,순영업이익,Net operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,순영업이익,,,7474961000000.0,7590511000000.0,7294958000000.0,6582481000000.0
22,ifrs-full_SellingGeneralAndAdministrativeExpense,일반관리비,"Selling, general and administrative expense",ifrs-full:StatementOfComprehensiveIncomeAbstract,일반관리비,,,-2813350000000.0,-2685598000000.0,-2613050000000.0,-2598935000000.0
23,dart_OtherOperatingIncome,기타영업수익,Other operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업수익,,,328767000000.0,196338000000.0,187242000000.0,380575000000.0
24,dart_OtherOperatingExpense,기타영업비용,Other operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타영업비용,,,-1396291000000.0,-1668970000000.0,-1222161000000.0,-1139789000000.0
25,ifrs-full_ProfitLossFromOperatingActivities,영업이익,Profit (loss) from operating activities,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,3594087000000.0,3432281000000.0,3646989000000.0,3231310000000.0
26,dart_NonOperatingProfitLoss,영업외손익,Non-operating profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외손익,,,-26584000000.0,60756000000.0,-42784000000.0,86599000000.0
27,ifrs-full_ProfitLossBeforeTax,법인세차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세차감전순이익,,,3567503000000.0,3493037000000.0,3604205000000.0,3317909000000.0
28,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-913165000000.0,-817849000000.0,-929475000000.0,-891968000000.0
29,ifrs-full_ProfitLoss,연결당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익,,,2654338000000.0,2675188000000.0,2674730000000.0,2425941000000.0
30,dart_AdjustedProfitLossNetOfRegulatoryReserveForCreditLoss,대손준비금 반영후 조정이익,"Adjusted profit (loss), net of regulatory reserve for credit loss",ifrs-full:StatementOfComprehensiveIncomeAbstract,대손준비금 반영후 조정이익,,,2430875000000.0,2601156000000.0,2357582000000.0,2227367000000.0
31,ifrs-full_OtherComprehensiveIncome,법인세비용차감후 연결기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,,,421234000000.0,291713000000.0,-467974000000.0,-40825000000.0
32,ifrs-full_OtherComprehensiveIncomeNetOfTaxChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiability,당기손익지정금융부채 평가손익변동,"Other comprehensive income, net of tax, change in fair value of financial liability attributable to change in credit risk of liability",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,당기손익으로 재분류되지 않는 항목,당기손익지정금융부채 평가손익변동,-47000000.0,0.0,-581000000.0,46000000.0
