,"[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
37,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익-공정가치측정지분상품 관련손익,"Other comprehensive income, net of tax, gains (losses) from investments in equity instruments",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는항목,기타포괄손익-공정가치측정지분상품 관련손익,-31516079235.0,-14414994500.0,38514654899.0,10879888086.0
38,ifrs-full_OtherComprehensiveIncomeNetOfTaxChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiability,당기손익-공정가치측정지정금융부채 신용위험변동,"Other comprehensive income, net of tax, change in fair value of financial liability attributable to change in credit risk of liability",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는항목,당기손익-공정가치측정지정금융부채 신용위험변동,-1574929718.0,-679972580.0,348103331.0,-2183528591.0
39,dart_OtherComprehensiveIncomeNetOfTaxChangeInFairValueOfFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정채무상품 관련손익,"Other comprehensive income, net of tax, gains (losses) from debt instruments measured at fair value through other comprehensive income",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,기타포괄손익-공정가치측정채무상품 관련손익,7595647993.0,47626254595.0,-32097426919.0,-28420468285.0
40,ifrs-full_OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation,해외사업환산손익,"Other comprehensive income, net of tax, exchange differences on translation of foreign operations",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,해외사업환산손익,31169507462.0,3623987450.0,14304728746.0,14531843983.0
41,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동,"Changes in valuation of investment using the equity method, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,지분법자본변동,-2005055679.0,1047189496.0,-164961177.0,811968422.0
42,ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,897963719916.0,578611051739.0,454319554501.0,960315119930.0
43,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 총포괄손익,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,지배기업의 소유주에게 귀속되는 총포괄손익,,897963719916.0,578611051739.0,454319554501.0,960315119930.0
44,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분에 귀속되는 총포괄손익,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,비지배지분에 귀속되는 총포괄손익,,0.0,0.0,0.0,0.0
45,ifrs-full_BasicEarningsLossPerShare,기본주당순이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업소유주지분주당이익,기본주당순이익,,10068.0,6130.0,4730.0,10810.0
46,ifrs-full_DilutedEarningsLossPerShare,희석주당순이익,Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업소유주지분주당이익,희석주당순이익,,10068.0,6130.0,4730.0,10810.0
