corp_code,stock_code,corp_name,year,매출액,영업이익,당기순이익,ROE(%),ROA(%),영업이익률(%),매출총이익률(%),SGA비율(%),매출원가율(%),부채비율(%),자기자본비율(%),이자보상배수(배),자산회전율(배),재고회전율(배),매출채권회전율(배),Capex,Capex/매출(%),FCF,FCF마진(%),영업활동현금흐름,배당금지급,고정자산비율(%)
411048,34230,에스앤에스텍,2025,243733252593.0,50389752346.0,58092807910.0,19.09,14.78,20.67,34.72,14.04,65.28,29.18,77.41,9.65,0.62,4.92,4.19,64473291305.0,26.45,-17591245132.0,-7.22,46882046173.0,3124440600.0,46.33
1109539,41920,와이씨,2023,255182306180.0,8571578913.0,12879225237.0,3.52,2.68,3.36,19.35,15.99,80.65,31.29,76.17,2.2,0.53,3.26,36.45,83880138497.0,32.87,-59798410617.0,-23.43,24081727880.0,0.0,47.42
1109539,41920,와이씨,2024,211241210832.0,10599506307.0,12926037556.0,3.09,2.24,5.02,27.67,22.65,72.33,37.93,72.5,0.71,0.37,1.18,15.29,26984065297.0,12.77,-50536836520.0,-23.92,-23552771223.0,0.0,42.65
1109539,41920,와이씨,2025,272629978227.0,16989848287.0,28984367217.0,6.09,4.77,6.23,26.27,20.04,73.73,27.51,78.43,1.54,0.45,2.4,20.82,16644390074.0,6.11,24548396143.0,9.0,41192786217.0,0.0,40.69
1135941,240810,원익IPS,2023,690337586778.0,-18074991250.0,-13507700947.0,-1.56,-1.25,-2.62,39.97,18.75,60.03,25.17,79.89,-4.61,0.64,1.22,9.35,64566846697.0,9.35,-76882029734.0,-11.14,-12315183037.0,9581070390.0,34.66
1135941,240810,원익IPS,2024,748176487524.0,10641636214.0,20748346848.0,2.34,1.85,1.42,39.07,16.77,60.93,26.67,78.95,0.93,0.67,1.35,7.51,31756103666.0,4.24,46524400785.0,6.22,78280504451.0,0.0,32.14
1135941,240810,원익IPS,2025,909795691103.0,73814129967.0,84028556164.0,8.66,7.22,8.11,42.08,15.56,57.92,20.06,83.29,107.15,0.78,1.93,12.67,32003350977.0,3.52,124603677379.0,13.7,156607028356.0,2432778850.0,30.07
531014,39440,유진테크,2023,276533350776.0,24325728964.0,25397015593.0,6.89,5.81,8.8,45.44,36.64,54.56,18.59,84.32,49.65,0.63,1.48,33.22,11847134802.0,4.28,35846753992.0,12.96,47693888794.0,5994627270.0,29.23
531014,39440,유진테크,2024,338067812312.0,61177012897.0,65440277257.0,15.02,12.13,18.1,49.01,30.92,50.99,23.81,80.77,38.89,0.63,1.6,7.55,10541803711.0,3.12,50960865830.0,15.07,61502669541.0,4441464650.0,24.12
531014,39440,유진테크,2025,350324287104.0,51671713116.0,44481997780.0,9.05,7.66,14.75,48.8,34.05,51.2,18.16,84.63,35.26,0.6,1.96,8.7,21800571197.0,6.22,44676247043.0,12.75,66476818240.0,5112974350.0,23.35
246417,11930,이오테크닉스,2023,316384019477.0,28334755251.0,36393252840.0,6.47,5.95,8.96,26.91,17.95,73.09,8.75,91.95,2.45,0.52,1.71,3.79,6233870463.0,1.97,25349560527.0,8.01,31583430990.0,12102153000.0,18.38
246417,11930,이오테크닉스,2024,320945496298.0,31201085341.0,42670270031.0,7.08,6.53,9.72,27.74,18.02,72.26,8.29,92.35,3.85,0.49,2.06,3.18,64008894879.0,19.94,-8647784112.0,-2.69,55361110767.0,5445968850.0,21.27
246417,11930,이오테크닉스,2025,380890608578.0,80753274993.0,57564773290.0,8.37,7.4,21.2,36.52,15.32,63.48,13.06,88.45,4.38,0.49,2.1,4.33,4080135163.0,1.07,96207641419.0,25.26,100287776582.0,6051076500.0,19.84
447487,90460,제주반도체,2023,145899793599.0,17838425308.0,16919765330.0,10.67,8.52,12.23,25.78,13.56,74.22,25.29,79.81,23.12,0.73,1.49,2.24,1870189813.0,1.28,640670112.0,0.44,2510859925.0,0.0,2.39
447487,90460,제주반도체,2024,162349945455.0,9581360274.0,19405207353.0,10.53,8.61,5.9,21.81,15.91,78.19,22.36,81.73,11.87,0.72,1.27,2.49,2853816163.0,1.76,-12535903389.0,-7.72,-9682087226.0,1080000000.0,2.52
447487,90460,제주반도체,2025,302230571186.0,35873972312.0,39499088944.0,17.39,11.76,11.87,21.16,9.29,78.84,47.94,67.59,23.72,0.9,2.52,3.03,2724757610.0,0.9,22830145551.0,7.55,25554903161.0,0.0,1.95
252135,36930,주성엔지니어링,2023,284745246660.0,28937462812.0,34000802285.0,6.61,4.22,10.16,52.72,42.55,47.28,56.44,63.92,7.22,0.35,1.66,16.71,14431416647.0,5.07,-13544786944.0,-4.76,886629703.0,9231716034.0,36.78
252135,36930,주성엔지니어링,2024,409393371588.0,97196211588.0,106814110967.0,18.85,10.82,23.74,60.81,37.07,39.19,74.17,57.42,26.67,0.41,1.59,14.27,30999739416.0,7.57,193672990747.0,47.31,224672730163.0,2363416050.0,31.77
252135,36930,주성엔지니어링,2025,310692584812.0,31257811742.0,35693416702.0,6.05,4.02,10.06,57.07,47.01,42.93,50.37,66.5,8.04,0.35,2.23,25.79,39882652553.0,12.84,-70560812691.0,-22.71,-30678160138.0,13114155614.0,37.61
1261893,63770,케이씨텍,2023,286909703428.0,32703769328.0,31700589259.0,7.0,6.34,11.4,34.29,22.89,65.71,10.46,90.53,159.03,0.57,2.26,12.16,13713625643.0,4.78,12872837406.0,4.49,26586463049.0,5072515250.0,20.75
